Velocity_x	Thrust	Torque
1.15061535844911	328.599066840276	19.8243944264285
1.09405455761744	351.091916333277	20.9211016634627
1.10919707335813	336.498515726433	19.8445730417284
1.05457078578215	346.888846715940	20.4631768107240
1.08897962142774	341.021605076886	20.0831799219175
1.07185150113434	345.793342065822	20.4748324302779
1.09108797633051	343.241270347170	20.7049724395847
1.11774075703453	341.969237134862	20.7958651598044
1.11600531306639	342.064016121481	20.5075074314675
1.10183031337218	342.556304964294	20.5069097641210
1.11061025975443	344.065533145353	20.5848110317376
1.11538191761532	343.911368250900	20.5790277079855
1.12705401657403	345.344690074281	20.7476115479685
1.12397477609166	344.998325829147	20.9533651403918
1.08875297652871	349.478607049159	21.2232923664198
1.05371828785964	352.541525140659	21.0988249574968
1.08360210061706	351.409105882936	21.4316471244244
1.10827610545009	352.729034873875	21.8272555488689
1.09498977676420	353.662677502222	21.8180458748282
1.07741209010137	353.963192621317	21.8247442205481
1.07727704465052	355.934857077402	22.0054092941091
1.08694995176085	358.418678565240	22.0881843003052
1.07758572569204	359.402559116503	22.1040768738122
1.05637870380612	353.897212925996	22.2492080134555
1.04955273833488	353.970659954852	22.5222450639304
1.06150998476583	354.707650611915	22.4325910609715
1.05325234664569	356.188750384199	22.1366269413013
1.09296549667372	355.812752429117	22.1654365213197
1.10509257644499	354.921434440573	22.0098907358213
1.07541131278241	352.518949182710	21.5868366064243
1.06336293456205	351.500381769379	21.3535341476429
1.10329565619471	348.656778120885	21.2978803035959
1.10713058019069	344.914745196630	20.8878405658167
1.10903777015214	344.455144114048	20.6068147318457
1.09170085059399	344.718633119488	20.7331251937491
1.07990959262772	346.960487676005	20.8374573677466
1.07894371157054	347.093434916706	21.0563254656455
1.06023723830966	345.528824938323	21.2963873960078
1.05328004422853	346.117713837899	21.3842900004941
1.04448633173812	344.635264085185	20.9585181262198
1.03918418623659	346.355204886792	20.7049740599624
1.04218457251116	351.630561526440	20.8948379140264
1.04558011718094	353.378200616154	21.2700447320539
1.04817163871766	358.592357154657	21.7029691551467
1.06286231357838	358.161681018663	22.3722987018507
1.07677287330147	352.473292917480	22.8946656146617
1.07769077119072	355.981884463440	22.6589203801076
1.08471121506247	357.706479037694	22.1020242961198
1.09457835583867	362.772421781482	22.1429316861842
1.08170570315460	368.765799657971	22.5078303555620
1.03615855327991	369.401657335264	23.2592345639088
1.07801159413257	369.104013985640	23.6049010076939
1.04507963911397	365.753279964728	23.8856355406591
1.07129916298739	360.379158364687	23.2656074438760
1.10273216478018	356.525554565550	22.1910694933700
1.06771702089284	351.828794624877	21.4390926560739
1.05584324332196	346.982341337004	20.9012663692841
1.05593119769199	343.751429519116	20.5473918004629
1.08114774320178	340.203002774912	20.3054560423620
1.02958661640742	337.392971451869	20.1367522320435
1.07274289041411	331.881524206134	19.8027105762434
1.06611459646989	331.013896403344	19.5481668517033
1.08631257035640	329.514680156030	19.5374042497646
1.11681218614638	328.681164316864	19.6311374189228
1.14598140828642	328.545878005983	19.5766793287664
1.13782012468686	327.941496368447	19.5199179517343
1.10087358162971	327.993180730138	19.6073614301052
1.10148331875966	342.428170052138	19.7021201470553
1.10636645367397	346.497070870617	19.5851267747012
1.08202817092814	337.633101276389	19.8681689876438
1.09265397926397	336.621641583392	20.3396046536585
1.10188649888482	340.486796588791	20.6020137748122
1.09958077031648	347.701521461592	20.7697303903741
1.11344474915812	350.756873722504	21.3757156414787
1.10972533069468	356.479934881345	21.9161536318372
1.11152359213783	358.980375315376	22.5057408901036
1.09079137926859	358.575756402591	22.9679387593623
1.11302766008848	353.784913602288	22.8626103668730
1.15463866079984	348.102453997282	21.8130645996969
1.11348611129106	346.150328986089	20.4487109397185
1.11661096827202	350.121633206153	19.8167638832098
1.10629391830294	347.556850400361	19.9269437114351
1.09489888239874	344.859864985121	20.2720341889432
1.05139068871622	339.976932200118	20.6524578445929
1.12899152713447	332.112660814601	20.3788086316487
1.11034670424507	326.105445728901	19.3080047403269
1.13647360882465	321.725097139937	18.3019284295636
1.12891429319826	316.992419412854	17.7664073506239
1.11898286809283	311.568462802653	17.6246434760180
1.12915389793583	313.422526470559	17.4829452563396
1.12367805749228	313.068724584250	18.0147831961123
1.10916123473551	310.005316622181	18.2735717432055
1.11338271875979	307.425956565439	18.2152580807013
1.16799644731701	307.350805834528	17.9512046149124
1.14807359598753	310.468099789750	17.8281721443378
1.14167103484339	312.252178606067	18.0248618142294
1.14608723500961	310.224756334105	17.9701590552099
1.11114186636735	311.985416454889	18.1068788966163
1.15738747509639	312.901266284919	18.2788683791229
1.17666279677997	314.268319354191	18.2844049377521
1.18252371132522	317.931446845985	18.3113453389799
1.20097650541992	321.732532821651	18.6562027946051
1.21352781489793	325.571439906097	18.9023833644904
1.20765648174489	327.120603346116	19.1265708499865
1.18100890007176	327.909966467127	19.2336923592341
1.18478805265505	325.311031964617	19.0765330344480
1.17935650836332	323.405122186771	18.3602514695725
1.10970776673988	316.555180056779	17.6987453402250
1.08208985672114	301.510931643845	17.3071723783825
1.09801770417153	308.411318473568	17.3332127548371
1.08182437484800	314.309723506905	17.4104297562865
1.08501537782534	319.095960896413	17.8067412340696
1.10379047299359	315.754409140411	17.9987655894412
1.09523164020001	309.208037955761	17.4932512077835
1.10884874373137	303.673743967375	16.6891513169411
1.10234264969125	298.863151339296	15.9332858340852
1.07591120884751	301.379008974603	15.7304257027612
1.07523128026998	309.023919082975	15.9718267843466
1.03300611550562	314.699562039190	17.3250304735390
1.04794690681102	316.838818431087	18.8185887880395
1.04788758183692	318.082662552588	19.4461709245660
